ACC,Localization
WP_092058804.1,Outer Membrane
WP_092058806.1,Outer Membrane
WP_092058808.1,Cytoplasmic
WP_092058810.1,Cytoplasmic Membrane
WP_092058812.1,Cytoplasmic Membrane
WP_092058814.1,Periplasmic
WP_092058817.1,Cytoplasmic
WP_092058818.1,Cytoplasmic
WP_092058820.1,Cytoplasmic Membrane
WP_092058822.1,Cytoplasmic
WP_092058824.1,Outer Membrane
WP_092058826.1,Cytoplasmic Membrane
WP_092058827.1,Cytoplasmic Membrane
WP_092058829.1,Outer Membrane
WP_092058831.1,Cytoplasmic
WP_092058835.1,Outer Membrane
WP_092058837.1,Cytoplasmic Membrane
WP_092058838.1,Cytoplasmic Membrane
WP_092058840.1,Cytoplasmic
WP_092058842.1,Cytoplasmic
WP_092058844.1,Cytoplasmic
WP_092058846.1,Cytoplasmic
WP_092058848.1,Cytoplasmic
WP_092058850.1,Periplasmic
WP_092058852.1,Cytoplasmic
WP_092058853.1,Cytoplasmic
WP_092058855.1,Cytoplasmic
WP_092058857.1,Cytoplasmic
WP_092058859.1,Cytoplasmic Membrane
WP_092058861.1,Cytoplasmic Membrane
WP_092058863.1,Outer Membrane
WP_092058865.1,Cytoplasmic
WP_092058867.1,Cytoplasmic Membrane
WP_092058869.1,Cytoplasmic
WP_092058871.1,Cytoplasmic
WP_092058873.1,Cytoplasmic Membrane
WP_092058875.1,Cytoplasmic Membrane
WP_092058877.1,Cytoplasmic
WP_092058879.1,Cytoplasmic
WP_092058883.1,Cytoplasmic
WP_092058885.1,Cytoplasmic Membrane
WP_092058891.1,Cytoplasmic Membrane
WP_092058893.1,Cytoplasmic Membrane
WP_092058895.1,Cytoplasmic
WP_092058896.1,Cytoplasmic
WP_092058897.1,Cytoplasmic
WP_092058902.1,Cytoplasmic Membrane
WP_092058904.1,Cytoplasmic Membrane
WP_092058906.1,Cytoplasmic Membrane
WP_092058908.1,Cytoplasmic Membrane
WP_092058910.1,Cytoplasmic Membrane
WP_092058914.1,Cytoplasmic Membrane
WP_092058916.1,Cytoplasmic Membrane
WP_092058918.1,Outer Membrane
WP_092058920.1,Extracellular
WP_092058922.1,Cytoplasmic Membrane
WP_092058924.1,Cytoplasmic
WP_092058930.1,Cytoplasmic
WP_092058932.1,Cytoplasmic
WP_092058934.1,Cytoplasmic
WP_092058936.1,Cytoplasmic
WP_092058938.1,Cytoplasmic
WP_092058940.1,Cytoplasmic
WP_092058942.1,Cytoplasmic
WP_092058945.1,Cytoplasmic
WP_092058947.1,Periplasmic
WP_092058951.1,Cytoplasmic
WP_092058953.1,Cytoplasmic
WP_092058955.1,Cytoplasmic
WP_092058957.1,Cytoplasmic Membrane
WP_092058959.1,Cytoplasmic Membrane
WP_092058961.1,Cytoplasmic Membrane
WP_092058971.1,Cytoplasmic Membrane
WP_092058973.1,Periplasmic
WP_140396572.1,Cytoplasmic Membrane
WP_140396573.1,Cytoplasmic
WP_140396574.1,Cytoplasmic
WP_140396575.1,Periplasmic
WP_140396577.1,Outer Membrane
WP_140396578.1,Cytoplasmic
WP_140396580.1,Cytoplasmic
WP_140396581.1,Cytoplasmic Membrane
WP_140396583.1,Cytoplasmic
WP_140396584.1,Extracellular
WP_140396586.1,Cytoplasmic Membrane
WP_140396587.1,Cytoplasmic
WP_140396588.1,Cytoplasmic
WP_140396589.1,Cytoplasmic
WP_140396590.1,Cytoplasmic
WP_140396591.1,Extracellular
WP_140396594.1,Cytoplasmic
WP_140396596.1,Cytoplasmic
WP_140396598.1,Cytoplasmic Membrane
WP_140396599.1,Extracellular
WP_140396600.1,Cytoplasmic
WP_140396601.1,Cytoplasmic
WP_140396602.1,Cytoplasmic Membrane
WP_140396603.1,Cytoplasmic Membrane
WP_140396605.1,Cytoplasmic
WP_140396606.1,Periplasmic
WP_140396608.1,Cytoplasmic
WP_140396610.1,Cytoplasmic
WP_140396611.1,Cytoplasmic
WP_140396613.1,Cytoplasmic
WP_140396614.1,Outer Membrane
WP_140396615.1,Outer Membrane
WP_140396616.1,Cytoplasmic
WP_140396617.1,Outer Membrane
WP_140396619.1,Cytoplasmic Membrane
WP_140396620.1,Outer Membrane
WP_140396621.1,Cytoplasmic
WP_140396622.1,Cytoplasmic
WP_140396624.1,Cytoplasmic
WP_140396625.1,Cytoplasmic
WP_140396626.1,Cytoplasmic
WP_140396627.1,Cytoplasmic
WP_140396628.1,Cytoplasmic
WP_140396629.1,Cytoplasmic
WP_140396630.1,Cytoplasmic Membrane
WP_140396631.1,Extracellular
WP_140396632.1,Extracellular
WP_140396633.1,Cytoplasmic
WP_140396635.1,Extracellular
WP_140396636.1,Periplasmic
WP_140396637.1,Extracellular
WP_140396639.1,Cytoplasmic
WP_140396640.1,Cytoplasmic
WP_140396641.1,Cytoplasmic Membrane
WP_140396645.1,Outer Membrane
WP_140396646.1,Cytoplasmic
WP_140396648.1,Cytoplasmic
WP_140396649.1,Extracellular
WP_140396650.1,Cytoplasmic Membrane
WP_140396653.1,Extracellular
WP_140396654.1,Cytoplasmic Membrane
WP_140396655.1,Cytoplasmic Membrane
WP_140396658.1,Cytoplasmic
WP_140396660.1,Cytoplasmic
WP_140396661.1,Periplasmic
WP_140396662.1,Cytoplasmic Membrane
WP_140396664.1,Cytoplasmic
WP_140396665.1,Cytoplasmic
WP_140396668.1,Outer Membrane
WP_140396669.1,Extracellular
WP_140396670.1,Cytoplasmic
WP_140396671.1,Cytoplasmic Membrane
WP_140396672.1,Cytoplasmic Membrane
WP_140396673.1,Periplasmic
WP_140396675.1,Cytoplasmic Membrane
WP_140396677.1,Outer Membrane
WP_140396679.1,Cytoplasmic
WP_140396680.1,Cytoplasmic Membrane
WP_140396681.1,Cytoplasmic Membrane
WP_140396682.1,Outer Membrane
WP_140396683.1,Cytoplasmic Membrane
WP_140396684.1,Cytoplasmic Membrane
WP_140396685.1,Cytoplasmic
WP_140396687.1,Cytoplasmic Membrane
WP_140396689.1,Cytoplasmic Membrane
WP_140396690.1,Cytoplasmic
WP_140396692.1,Cytoplasmic Membrane
WP_140396695.1,Cytoplasmic Membrane
WP_140396697.1,Cytoplasmic Membrane
WP_143332085.1,Periplasmic
WP_170232751.1,Cytoplasmic
WP_170232752.1,Cytoplasmic
WP_170232753.1,Cytoplasmic Membrane
WP_170232754.1,Periplasmic
WP_170232755.1,Cytoplasmic
WP_170232756.1,Cytoplasmic Membrane
WP_170232757.1,Cytoplasmic Membrane
WP_170232758.1,Cytoplasmic
WP_170232759.1,Cytoplasmic Membrane
WP_170232760.1,Cytoplasmic Membrane
WP_170232761.1,Cytoplasmic
WP_170232762.1,Cytoplasmic
WP_170232763.1,Cytoplasmic
WP_170232764.1,Periplasmic
WP_170232765.1,Outer Membrane
WP_170232766.1,Cytoplasmic
WP_170232767.1,Cytoplasmic
WP_170232768.1,Cytoplasmic
WP_170232771.1,Cytoplasmic
WP_170232772.1,Outer Membrane
WP_170232773.1,Cytoplasmic
WP_170232774.1,Cytoplasmic Membrane
WP_170232776.1,Cytoplasmic
WP_170232777.1,Cytoplasmic Membrane
WP_170232778.1,Cytoplasmic
WP_170232779.1,Cytoplasmic
WP_170232780.1,Cytoplasmic Membrane
WP_170232781.1,Outer Membrane
WP_170232782.1,Cytoplasmic Membrane
WP_170232783.1,Cytoplasmic Membrane
WP_170232784.1,Cytoplasmic
WP_170232785.1,Cytoplasmic
WP_170232786.1,Outer Membrane
WP_170232787.1,Cytoplasmic Membrane
WP_170232788.1,Cytoplasmic
WP_170232789.1,Cytoplasmic
WP_170232790.1,Periplasmic
WP_170232791.1,Cytoplasmic Membrane
WP_170232792.1,Outer Membrane
WP_170232793.1,Outer Membrane
WP_170232794.1,Cytoplasmic
WP_170232795.1,Outer Membrane
WP_170232796.1,Cytoplasmic
WP_170232797.1,Cytoplasmic
WP_170232798.1,Cytoplasmic
WP_170232799.1,Extracellular
WP_170232805.1,Cytoplasmic
WP_170232806.1,Cytoplasmic
WP_170232807.1,Cytoplasmic Membrane
WP_170232809.1,Cytoplasmic Membrane
WP_170232810.1,Cytoplasmic
WP_170232811.1,Cytoplasmic Membrane
WP_170232812.1,Cytoplasmic
WP_170232813.1,Periplasmic
WP_170232814.1,Cytoplasmic
WP_170232815.1,Cytoplasmic
WP_170232816.1,Cytoplasmic
WP_170232817.1,Cytoplasmic
WP_170232818.1,Cytoplasmic Membrane
WP_170232819.1,Cytoplasmic
WP_170232820.1,Cytoplasmic
WP_170232822.1,Cytoplasmic
WP_170232823.1,Cytoplasmic Membrane
WP_170232824.1,Cytoplasmic Membrane
WP_170232825.1,Outer Membrane
WP_170232827.1,Extracellular
WP_170232828.1,Outer Membrane
WP_170232829.1,Cytoplasmic
WP_170232830.1,Outer Membrane
WP_170232831.1,Periplasmic
WP_170232832.1,Cytoplasmic Membrane
WP_170232833.1,Cytoplasmic
WP_170232834.1,Outer Membrane
WP_170232835.1,Periplasmic
WP_170232836.1,Extracellular
WP_170232837.1,Extracellular
WP_170232838.1,Cytoplasmic
WP_170232839.1,Cytoplasmic Membrane
WP_170232840.1,Cytoplasmic
WP_170232841.1,Cytoplasmic
WP_170232842.1,Cytoplasmic Membrane
WP_170232843.1,Cytoplasmic
WP_170232844.1,Cytoplasmic Membrane
WP_170232845.1,Extracellular
WP_170232846.1,Extracellular
WP_170232847.1,Cytoplasmic Membrane
WP_170232848.1,Cytoplasmic Membrane
WP_170232849.1,Outer Membrane
WP_170232850.1,Cytoplasmic
WP_092057532.1,Cytoplasmic
WP_092057533.1,Periplasmic
WP_092057535.1,Cytoplasmic
WP_092057536.1,Cytoplasmic Membrane
WP_092057537.1,Cytoplasmic
WP_092057539.1,Cytoplasmic
WP_092057545.1,Cytoplasmic
WP_092057547.1,Outer Membrane
WP_092057549.1,Cytoplasmic
WP_092057550.1,Cytoplasmic
WP_092057551.1,Cytoplasmic
WP_092057552.1,Cytoplasmic
WP_092057553.1,Extracellular
WP_092057554.1,Cytoplasmic
WP_092057555.1,Cytoplasmic
WP_092057556.1,Cytoplasmic Membrane
WP_092057557.1,Cytoplasmic
WP_092057558.1,Cytoplasmic
WP_092057559.1,Cytoplasmic
WP_092057560.1,Cytoplasmic
WP_092057561.1,Cytoplasmic
WP_092057562.1,Cytoplasmic
WP_092057563.1,Cytoplasmic
WP_092057566.1,Periplasmic
WP_092057567.1,Cytoplasmic Membrane
WP_092057568.1,Cytoplasmic Membrane
WP_092057569.1,Cytoplasmic
WP_092057570.1,Cytoplasmic Membrane
WP_092057571.1,Cytoplasmic
WP_092057572.1,Cytoplasmic
WP_092057573.1,Periplasmic
WP_092057574.1,Cytoplasmic
WP_092057575.1,Cytoplasmic
WP_092057576.1,Cytoplasmic
WP_092057577.1,Cytoplasmic
WP_092057578.1,Cytoplasmic
WP_092057579.1,Cytoplasmic
WP_092057580.1,Outer Membrane
WP_092057581.1,Cytoplasmic Membrane
WP_092057582.1,Cytoplasmic Membrane
WP_092057583.1,Cytoplasmic Membrane
WP_092057584.1,Cytoplasmic Membrane
WP_092057585.1,Cytoplasmic Membrane
WP_092057586.1,Cytoplasmic
WP_092057587.1,Cytoplasmic
WP_092057588.1,Cytoplasmic Membrane
WP_092057589.1,Cytoplasmic
WP_092057590.1,Cytoplasmic
WP_092057591.1,Cytoplasmic
WP_092057592.1,Cytoplasmic
WP_092057593.1,Cytoplasmic Membrane
WP_092057594.1,Cytoplasmic
WP_092057595.1,Cytoplasmic
WP_092057597.1,Cytoplasmic
WP_092057598.1,Cytoplasmic
WP_092057599.1,Cytoplasmic
WP_092057600.1,Cytoplasmic
WP_092057601.1,Cytoplasmic
WP_092057602.1,Cytoplasmic
WP_092057603.1,Cytoplasmic Membrane
WP_092057604.1,Cytoplasmic
WP_092057605.1,Cytoplasmic Membrane
WP_092057606.1,Cytoplasmic Membrane
WP_092057607.1,Cytoplasmic Membrane
WP_092057609.1,Cytoplasmic
WP_092057610.1,Cytoplasmic Membrane
WP_092057611.1,Cytoplasmic Membrane
WP_092057612.1,Cytoplasmic Membrane
WP_092057613.1,Cytoplasmic Membrane
WP_092057614.1,Cytoplasmic Membrane
WP_092057615.1,Cytoplasmic Membrane
WP_092057616.1,Extracellular
WP_092057617.1,Cytoplasmic
WP_092057619.1,Cytoplasmic
WP_092057620.1,Cytoplasmic
WP_092057621.1,Cytoplasmic
WP_092057622.1,Cytoplasmic
WP_092057624.1,Cytoplasmic Membrane
WP_092057625.1,Cytoplasmic
WP_092057626.1,Cytoplasmic
WP_092057627.1,Cytoplasmic
WP_092057628.1,Cytoplasmic
WP_092057631.1,Cytoplasmic
WP_092057632.1,Cytoplasmic
WP_092057634.1,Cytoplasmic
WP_092057635.1,Cytoplasmic Membrane
WP_092057636.1,Cytoplasmic
WP_092057637.1,Cytoplasmic
WP_092057638.1,Cytoplasmic
WP_092057639.1,Cytoplasmic
WP_092057640.1,Cytoplasmic
WP_092057641.1,Cytoplasmic
WP_092057642.1,Cytoplasmic
WP_092057643.1,Cytoplasmic
WP_092057644.1,Cytoplasmic Membrane
WP_092057645.1,Cytoplasmic
WP_092057646.1,Cytoplasmic
WP_092057647.1,Cytoplasmic Membrane
WP_092057649.1,Cytoplasmic
WP_092057650.1,Outer Membrane
WP_092057651.1,Cytoplasmic Membrane
WP_092057652.1,Cytoplasmic
WP_092057653.1,Cytoplasmic Membrane
WP_092057654.1,Cytoplasmic
WP_092057655.1,Cytoplasmic Membrane
WP_092057656.1,Cytoplasmic
WP_092057657.1,Cytoplasmic
WP_092057658.1,Cytoplasmic
WP_092057659.1,Periplasmic
WP_092057660.1,Outer Membrane
WP_092057661.1,Cytoplasmic
WP_092057664.1,Cytoplasmic
WP_092057665.1,Cytoplasmic
WP_092057667.1,Cytoplasmic
WP_092057670.1,Cytoplasmic
WP_092057671.1,Cytoplasmic
WP_092057672.1,Cytoplasmic
WP_092057673.1,Cytoplasmic
WP_092057674.1,Cytoplasmic
WP_092057675.1,Cytoplasmic Membrane
WP_092057676.1,Cytoplasmic Membrane
WP_092057677.1,Cytoplasmic Membrane
WP_092057678.1,Cytoplasmic
WP_092057679.1,Cytoplasmic
WP_092057680.1,Periplasmic
WP_092057681.1,Cytoplasmic
WP_092057682.1,Cytoplasmic
WP_092057683.1,Outer Membrane
WP_092057684.1,Cytoplasmic Membrane
WP_092057685.1,Cytoplasmic
WP_092057686.1,Cytoplasmic Membrane
WP_092057687.1,Cytoplasmic
WP_092057688.1,Cytoplasmic
WP_092057689.1,Cytoplasmic
WP_092057690.1,Cytoplasmic Membrane
WP_092057691.1,Cytoplasmic Membrane
WP_092057692.1,Cytoplasmic
WP_092057693.1,Cytoplasmic
WP_092057695.1,Cytoplasmic
WP_092057696.1,Cytoplasmic
WP_092057697.1,Cytoplasmic
WP_092057698.1,Cytoplasmic
WP_092057699.1,Extracellular
WP_092057700.1,Cytoplasmic
WP_092057701.1,Cytoplasmic
WP_092057702.1,Cytoplasmic
WP_092057703.1,Outer Membrane
WP_092057704.1,Cytoplasmic
WP_092057705.1,Cytoplasmic
WP_092057706.1,Cytoplasmic
WP_092057708.1,Cytoplasmic
WP_092057709.1,Cytoplasmic
WP_092057710.1,Cytoplasmic
WP_092057711.1,Cytoplasmic
WP_092057712.1,Cytoplasmic
WP_092057713.1,Periplasmic
WP_092057714.1,Cytoplasmic Membrane
WP_092057715.1,Outer Membrane
WP_092057716.1,Cytoplasmic
WP_092057717.1,Cytoplasmic
WP_092057718.1,Cytoplasmic
WP_092057719.1,Cytoplasmic
WP_092057720.1,Cytoplasmic
WP_092057722.1,Cytoplasmic
WP_092057723.1,Cytoplasmic
WP_092057724.1,Cytoplasmic
WP_092057726.1,Cytoplasmic
WP_092057727.1,Cytoplasmic
WP_092057728.1,Cytoplasmic
WP_092057729.1,Cytoplasmic
WP_092057732.1,Cytoplasmic
WP_092057733.1,Cytoplasmic Membrane
WP_092057734.1,Cytoplasmic
WP_092057735.1,Cytoplasmic Membrane
WP_092057736.1,Cytoplasmic
WP_092057737.1,Cytoplasmic
WP_092057738.1,Cytoplasmic
WP_092057739.1,Cytoplasmic
WP_092057740.1,Cytoplasmic Membrane
WP_092057741.1,Cytoplasmic
WP_092057742.1,Cytoplasmic
WP_092057743.1,Cytoplasmic
WP_092057744.1,Cytoplasmic Membrane
WP_092057745.1,Cytoplasmic Membrane
WP_092057746.1,Cytoplasmic
WP_092057747.1,Cytoplasmic
WP_092057748.1,Cytoplasmic
WP_092057749.1,Cytoplasmic
WP_092057750.1,Cytoplasmic
WP_092057751.1,Cytoplasmic
WP_092057752.1,Cytoplasmic
WP_092057753.1,Cytoplasmic
WP_092057754.1,Cytoplasmic
WP_092057755.1,Cytoplasmic
WP_092057756.1,Cytoplasmic
WP_092057757.1,Cytoplasmic
WP_092057758.1,Cytoplasmic Membrane
WP_092057759.1,Cytoplasmic Membrane
WP_092057760.1,Cytoplasmic Membrane
WP_092057761.1,Cytoplasmic Membrane
WP_092057762.1,Cytoplasmic Membrane
WP_092057763.1,Cytoplasmic
WP_092057764.1,Cytoplasmic Membrane
WP_092057765.1,Cytoplasmic
WP_092057766.1,Cytoplasmic
WP_092057767.1,Cytoplasmic
WP_092057768.1,Cytoplasmic
WP_092057769.1,Cytoplasmic
WP_092057770.1,Cytoplasmic
WP_092057771.1,Cytoplasmic Membrane
WP_092057772.1,Cytoplasmic Membrane
WP_092057774.1,Cytoplasmic
WP_092057775.1,Cytoplasmic
WP_092057776.1,Extracellular
WP_092057777.1,Cytoplasmic
WP_092057778.1,Cytoplasmic
WP_092057780.1,Cytoplasmic
WP_092057782.1,Periplasmic
WP_092057783.1,Cytoplasmic Membrane
WP_092057784.1,Cytoplasmic Membrane
WP_092057785.1,Cytoplasmic Membrane
WP_092057787.1,Periplasmic
WP_092057788.1,Cytoplasmic Membrane
WP_092057789.1,Cytoplasmic Membrane
WP_092057790.1,Periplasmic
WP_092057791.1,Cytoplasmic Membrane
WP_092057792.1,Cytoplasmic Membrane
WP_092057793.1,Cytoplasmic
WP_092057794.1,Cytoplasmic Membrane
WP_092057795.1,Periplasmic
WP_092057798.1,Periplasmic
WP_092057799.1,Outer Membrane
WP_092057801.1,Periplasmic
WP_092057802.1,Cytoplasmic
WP_092057803.1,Cytoplasmic
WP_092057804.1,Cytoplasmic
WP_092057805.1,Cytoplasmic
WP_092057806.1,Cytoplasmic
WP_092057807.1,Cytoplasmic
WP_092057809.1,Cytoplasmic
WP_092057810.1,Cytoplasmic
WP_092057811.1,Cytoplasmic Membrane
WP_092057812.1,Cytoplasmic Membrane
WP_092057813.1,Cytoplasmic
WP_092057814.1,Cytoplasmic
WP_092057816.1,Cytoplasmic Membrane
WP_092057817.1,Cytoplasmic
WP_092057818.1,Outer Membrane
WP_092057819.1,Cytoplasmic
WP_092057822.1,Cytoplasmic
WP_092057824.1,Cytoplasmic
WP_092057832.1,Cytoplasmic
WP_092057836.1,Cytoplasmic
WP_092057837.1,Cytoplasmic Membrane
WP_092057838.1,Cytoplasmic
WP_092057839.1,Cytoplasmic
WP_092057840.1,Cytoplasmic Membrane
WP_092057841.1,Periplasmic
WP_092057842.1,Cytoplasmic Membrane
WP_092057843.1,Cytoplasmic
WP_092057844.1,Cytoplasmic
WP_092057845.1,Cytoplasmic
WP_092057846.1,Cytoplasmic
WP_092057847.1,Cytoplasmic
WP_092057848.1,Cytoplasmic Membrane
WP_092057849.1,Cytoplasmic
WP_092057850.1,Cytoplasmic
WP_092057851.1,Cytoplasmic
WP_092057852.1,Cytoplasmic
WP_092057853.1,Cytoplasmic Membrane
WP_092057855.1,Cytoplasmic
WP_092057856.1,Cytoplasmic Membrane
WP_092057858.1,Cytoplasmic
WP_092057859.1,Cytoplasmic
WP_092057860.1,Cytoplasmic
WP_092057861.1,Outer Membrane
WP_092057862.1,Cytoplasmic
WP_092057863.1,Cytoplasmic Membrane
WP_092057864.1,Cytoplasmic
WP_092057865.1,Cytoplasmic
WP_092057866.1,Cytoplasmic Membrane
WP_092057868.1,Cytoplasmic
WP_092057869.1,Cytoplasmic
WP_092057871.1,Cytoplasmic Membrane
WP_092057872.1,Cytoplasmic
WP_092057873.1,Cytoplasmic Membrane
WP_092057875.1,Cytoplasmic
WP_092057876.1,Cytoplasmic
WP_092057877.1,Cytoplasmic Membrane
WP_092057878.1,Cytoplasmic
WP_092057879.1,Cytoplasmic Membrane
WP_092057880.1,Cytoplasmic Membrane
WP_092057882.1,Cytoplasmic
WP_092057883.1,Cytoplasmic Membrane
WP_092057884.1,Cytoplasmic
WP_092057886.1,Cytoplasmic Membrane
WP_092057887.1,Cytoplasmic
WP_092057888.1,Cytoplasmic
WP_092057889.1,Cytoplasmic Membrane
WP_092057890.1,Cytoplasmic Membrane
WP_092057891.1,Cytoplasmic
WP_092057893.1,Cytoplasmic
WP_092057894.1,Cytoplasmic
WP_092057895.1,Cytoplasmic
WP_092057896.1,Cytoplasmic
WP_092057897.1,Cytoplasmic
WP_092057900.1,Cytoplasmic Membrane
WP_092057901.1,Cytoplasmic Membrane
WP_092057902.1,Outer Membrane
WP_092057903.1,Periplasmic
WP_092057904.1,Cytoplasmic Membrane
WP_092057905.1,Cytoplasmic
WP_092057906.1,Cytoplasmic Membrane
WP_092057908.1,Outer Membrane
WP_092057909.1,Cytoplasmic
WP_092057910.1,Cytoplasmic
WP_092057911.1,Cytoplasmic Membrane
WP_092057912.1,Cytoplasmic
WP_092057914.1,Cytoplasmic
WP_092057916.1,Cytoplasmic
WP_092057917.1,Cytoplasmic Membrane
WP_092057918.1,Cytoplasmic
WP_092057920.1,Cytoplasmic Membrane
WP_092057921.1,Cytoplasmic
WP_092057922.1,Cytoplasmic
WP_092057923.1,Periplasmic
WP_092057924.1,Cytoplasmic
WP_092057925.1,Cytoplasmic Membrane
WP_092057926.1,Cytoplasmic Membrane
WP_092057927.1,Periplasmic
WP_092057928.1,Periplasmic
WP_092057929.1,Cytoplasmic
WP_092057931.1,Cytoplasmic
WP_092057932.1,Periplasmic
WP_092057933.1,Cytoplasmic Membrane
WP_092057934.1,Cytoplasmic Membrane
WP_092057935.1,Cytoplasmic Membrane
WP_092057936.1,Outer Membrane
WP_092057937.1,Outer Membrane
WP_092057938.1,Cytoplasmic
WP_092057939.1,Cytoplasmic
WP_092057940.1,Cytoplasmic
WP_092057941.1,Cytoplasmic
WP_092057942.1,Cytoplasmic Membrane
WP_092057943.1,Cytoplasmic
WP_092057944.1,Cytoplasmic
WP_092057945.1,Cytoplasmic
WP_092057946.1,Cytoplasmic
WP_092057947.1,Cytoplasmic
WP_092057950.1,Cytoplasmic
WP_092057951.1,Cytoplasmic
WP_092057952.1,Cytoplasmic Membrane
WP_092057953.1,Cytoplasmic
WP_092057954.1,Cytoplasmic
WP_092057955.1,Cytoplasmic
WP_092057956.1,Cytoplasmic
WP_092057957.1,Cytoplasmic
WP_092057960.1,Cytoplasmic
WP_092057961.1,Cytoplasmic
WP_092057962.1,Cytoplasmic
WP_092057964.1,Cytoplasmic
WP_092057965.1,Cytoplasmic
WP_092057966.1,Cytoplasmic
WP_092057967.1,Cytoplasmic
WP_092057968.1,Cytoplasmic
WP_092057969.1,Cytoplasmic
WP_092057970.1,Cytoplasmic
WP_092057971.1,Cytoplasmic Membrane
WP_092057972.1,Cytoplasmic
WP_092057973.1,Cytoplasmic
WP_092057974.1,Cytoplasmic Membrane
WP_092057975.1,Cytoplasmic
WP_092057976.1,Cytoplasmic
WP_092057977.1,Cytoplasmic Membrane
WP_092057978.1,Cytoplasmic
WP_092057979.1,Cytoplasmic Membrane
WP_092057980.1,Cytoplasmic
WP_092057982.1,Outer Membrane
WP_092057983.1,Cytoplasmic
WP_092057984.1,Cytoplasmic
WP_092057985.1,Cytoplasmic
WP_092057986.1,Cytoplasmic
WP_092057987.1,Cytoplasmic
WP_092057989.1,Cytoplasmic
WP_092057990.1,Cytoplasmic
WP_092057991.1,Cytoplasmic
WP_092057993.1,Cytoplasmic
WP_092057994.1,Cytoplasmic
WP_092057995.1,Cytoplasmic
WP_092058000.1,Cytoplasmic
WP_092058001.1,Cytoplasmic
WP_092058002.1,Cytoplasmic Membrane
WP_092058003.1,Cytoplasmic
WP_092058004.1,Cytoplasmic
WP_092058005.1,Cytoplasmic
WP_092058006.1,Cytoplasmic Membrane
WP_092058008.1,Cytoplasmic
WP_092058009.1,Cytoplasmic Membrane
WP_092058010.1,Cytoplasmic Membrane
WP_092058011.1,Cytoplasmic Membrane
WP_092058013.1,Cytoplasmic
WP_092058015.1,Cytoplasmic Membrane
WP_092058016.1,Periplasmic
WP_092058017.1,Cytoplasmic
WP_092058018.1,Periplasmic
WP_092058019.1,Cytoplasmic
WP_092058020.1,Cytoplasmic
WP_092058021.1,Cytoplasmic
WP_092058022.1,Cytoplasmic
WP_092058023.1,Cytoplasmic
WP_092058024.1,Cytoplasmic
WP_092058025.1,Cytoplasmic
WP_092058026.1,Cytoplasmic
WP_092058033.1,Cytoplasmic
WP_092058034.1,Cytoplasmic Membrane
WP_092058036.1,Cytoplasmic Membrane
WP_092058037.1,Periplasmic
WP_092058038.1,Cytoplasmic
WP_092058039.1,Outer Membrane
WP_092058040.1,Outer Membrane
WP_092058041.1,Periplasmic
WP_092058044.1,Periplasmic
WP_092058045.1,Periplasmic
WP_092058046.1,Cytoplasmic Membrane
WP_092058047.1,Cytoplasmic Membrane
WP_092058048.1,Cytoplasmic Membrane
WP_092058049.1,Periplasmic
WP_092058050.1,Cytoplasmic
WP_092058051.1,Cytoplasmic
WP_092058052.1,Cytoplasmic
WP_092058054.1,Cytoplasmic Membrane
WP_092058055.1,Cytoplasmic Membrane
WP_092058056.1,Cytoplasmic
WP_092058057.1,Cytoplasmic Membrane
WP_092058058.1,Cytoplasmic Membrane
WP_092058059.1,Cytoplasmic Membrane
WP_092058060.1,Outer Membrane
WP_092058061.1,Periplasmic
WP_092058064.1,Cytoplasmic Membrane
WP_092058068.1,Cytoplasmic
WP_092058069.1,Cytoplasmic
WP_092058070.1,Cytoplasmic
WP_092058071.1,Cytoplasmic
WP_092058072.1,Cytoplasmic Membrane
WP_092058073.1,Cytoplasmic
WP_092058074.1,Cytoplasmic
WP_092058075.1,Cytoplasmic
WP_092058076.1,Cytoplasmic
WP_092058077.1,Cytoplasmic
WP_092058079.1,Cytoplasmic
WP_092058081.1,Outer Membrane
WP_092058083.1,Outer Membrane
WP_092058084.1,Outer Membrane
WP_092058086.1,Cytoplasmic
WP_092058088.1,Cytoplasmic
WP_092058091.1,Extracellular
WP_092058095.1,Cytoplasmic
WP_092058097.1,Cytoplasmic
WP_092058099.1,Cytoplasmic Membrane
WP_092058101.1,Cytoplasmic
WP_092058103.1,Cytoplasmic
WP_092058105.1,Periplasmic
WP_092058107.1,Cytoplasmic Membrane
WP_092058109.1,Cytoplasmic Membrane
WP_092058112.1,Outer Membrane
WP_092058114.1,Cytoplasmic Membrane
WP_092058119.1,Cytoplasmic
WP_092058121.1,Cytoplasmic Membrane
WP_092058123.1,Cytoplasmic
WP_092058125.1,Cytoplasmic
WP_092058127.1,Cytoplasmic
WP_092058129.1,Cytoplasmic
WP_092058131.1,Cytoplasmic
WP_092058134.1,Cytoplasmic
WP_092058136.1,Cytoplasmic
WP_092058138.1,Cytoplasmic
WP_092058141.1,Periplasmic
WP_092058148.1,Cytoplasmic
WP_092058150.1,Cytoplasmic
WP_092058152.1,Cytoplasmic Membrane
WP_092058156.1,Cytoplasmic
WP_092058158.1,Cytoplasmic
WP_092058161.1,Cytoplasmic
WP_092058165.1,Cytoplasmic
WP_092058167.1,Cytoplasmic Membrane
WP_092058169.1,Outer Membrane
WP_092058171.1,Cytoplasmic Membrane
WP_092058173.1,Cytoplasmic Membrane
WP_092058175.1,Outer Membrane
WP_092058177.1,Periplasmic
WP_092058178.1,Cytoplasmic Membrane
